Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16642228k(9220620k free), swap 20705460k(9769332k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.465: [GC (Allocation Failure) 0.465: [DefNew: 960K->63K(960K), 0.0007360 secs] 31124K->30435K(524224K), 0.0007685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) 0.470: [DefNew: 959K->63K(960K), 0.0006739 secs] 31403K->30662K(524224K), 0.0007031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.475: [GC (Allocation Failure) 0.475: [DefNew: 959K->63K(960K), 0.0014358 secs] 32147K->31397K(524224K), 0.0014850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.477: [GC (Allocation Failure) 0.477: [DefNew: 959K->63K(960K), 0.0006122 secs] 32369K->31624K(524224K), 0.0006405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.480: [GC (Allocation Failure) 0.480: [DefNew: 959K->64K(960K), 0.0013333 secs] 32575K->31889K(524224K), 0.0013969 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.484: [GC (Allocation Failure) 0.484: [DefNew: 960K->63K(960K), 0.0008371 secs] 32843K->32143K(524224K), 0.0008877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.486: [GC (Allocation Failure) 0.486: [DefNew: 959K->63K(960K), 0.0006525 secs] 33112K->32370K(524224K), 0.0006845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.490: [GC (Allocation Failure) 0.490: [DefNew: 959K->63K(960K), 0.0006803 secs] 33340K->32593K(524224K), 0.0007156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.493: [GC (Allocation Failure) 0.493: [DefNew: 959K->64K(960K), 0.0006191 secs] 33563K->32822K(524224K), 0.0006521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.495: [GC (Allocation Failure) 0.495: [DefNew: 960K->64K(960K), 0.0005491 secs] 33800K->33039K(524224K), 0.0005769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.499: [GC (Allocation Failure) 0.499: [DefNew: 960K->63K(960K), 0.0006488 secs] 34006K->33273K(524224K), 0.0006854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.503: [GC (Allocation Failure) 0.503: [DefNew: 959K->63K(960K), 0.0008093 secs] 34209K->33575K(524224K), 0.0008552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.506: [GC (Allocation Failure) 0.506: [DefNew: 959K->64K(960K), 0.0006688 secs] 34543K->33807K(524224K), 0.0006966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.510: [GC (Allocation Failure) 0.510: [DefNew: 960K->64K(960K), 0.0005950 secs] 34777K->34028K(524224K), 0.0006270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
